leg,file,dataset,subset,backend,method,budget,passes,questions_expected,questions_run,rows,complete,accuracy_pct,errors,reasoning,temperature
mvueval_qa_internvl_mvufull,legs/mvueval_qa_internvl_mvufull.jsonl.gz,MVU-Eval,mvueval_qa.json,InternVL3-8B,centralized,8 frames/video,4,1824,1824,7296,True,51.95,0,mixed (90% traced),0.7
mvueval_qa_internvl_mvufull,legs/mvueval_qa_internvl_mvufull.jsonl.gz,MVU-Eval,mvueval_qa.json,InternVL3-8B,cvbench_native,8 frames/video,4,1824,1824,7296,True,52.88,0,mixed (90% traced),0.7
mvueval_qa_internvl_mvufull,legs/mvueval_qa_internvl_mvufull.jsonl.gz,MVU-Eval,mvueval_qa.json,InternVL3-8B,per_stream,8 frames/video,4,1824,1824,7296,True,43.98,0,mixed (90% traced),0.7
mvueval_qa_cvbench_mvufullq25,legs/mvueval_qa_cvbench_mvufullq25.jsonl.gz,MVU-Eval,mvueval_qa.json,Qwen2.5-VL-7B-Instruct,centralized,8 frames/video,4,1824,1824,7296,True,40.41,0,mixed (91% traced),0.7
mvueval_qa_cvbench_mvufullq25,legs/mvueval_qa_cvbench_mvufullq25.jsonl.gz,MVU-Eval,mvueval_qa.json,Qwen2.5-VL-7B-Instruct,cvbench_native,8 frames/video,4,1824,1824,7296,True,50.79,92,mixed (91% traced),0.7
mvueval_qa_cvbench_mvufullq25,legs/mvueval_qa_cvbench_mvufullq25.jsonl.gz,MVU-Eval,mvueval_qa.json,Qwen2.5-VL-7B-Instruct,per_stream,8 frames/video,4,1824,1824,7296,True,40.53,92,mixed (91% traced),0.7
mvueval_qa_internvl_mvufull32,legs/mvueval_qa_internvl_mvufull32.jsonl.gz,MVU-Eval,mvueval_qa.json,InternVL3-8B,centralized,32 frames total,4,1824,1824,7296,True,52.18,0,mixed (90% traced),0.7
mvueval_qa_internvl_mvufull32,legs/mvueval_qa_internvl_mvufull32.jsonl.gz,MVU-Eval,mvueval_qa.json,InternVL3-8B,cvbench_native,32 frames total,4,1824,1824,7296,True,52.54,0,mixed (90% traced),0.7
mvueval_qa_internvl_mvufull32,legs/mvueval_qa_internvl_mvufull32.jsonl.gz,MVU-Eval,mvueval_qa.json,InternVL3-8B,per_stream,32 frames total,4,1824,1824,7296,True,44.68,0,mixed (90% traced),0.7
mvueval_qa_internvl_mvupp32,legs/mvueval_qa_internvl_mvupp32.jsonl.gz,MVU-Eval,mvueval_qa.json,InternVL3-8B,cvbench_native,32 frames/video,4,1824,1824,7296,True,50.21,0,mixed (84% traced),0.7
mvueval_qa_internvl_mvupp32,legs/mvueval_qa_internvl_mvupp32.jsonl.gz,MVU-Eval,mvueval_qa.json,InternVL3-8B,per_stream,32 frames/video,4,1824,1824,7296,True,41.37,0,mixed (84% traced),0.7
